"","3010101","3010102","3010103","3010104","3010105","3010106","3010107","3010108","3010109","3010110","3010111","3010112","3010113","3010114","3010151","3010152","3010153","3010154","3010155"
"3010101",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3010102",2,3,1,1,3,2,3,2,2,2,2,2,2,3,3,2,2,2,1
"3010103",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"3010104",1,2,2,2,1,2,1,1,2,1,2,1,1,2,1,2,1,1,1
"3010105",1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1
"3010106",1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1
"3010107",2,2,2,2,2,1,2,3,2,3,3,3,2,2,2,3,3,3,3
"3010108",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"3010109",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3010110",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"3010111",2,3,2,2,3,3,3,2,3,2,2,2,3,3,2,2,2,1,2
"3010112",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3010113",2,3,1,1,3,3,3,2,1,1,1,1,3,1,1,1,1,1,1
"3010114",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3010151",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"3010152",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"3010153",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"3010154",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"3010155",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
