"","19010201","19010202","19010203","19010204","19010205","19010206","19010207","19010208","19010209","19010210","19010211","19010212","19010213","19010214","19010215","19010216","19010217","19010218","19010219","19010220","19010221","19010222","19010251","19010252"
"19010201",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"19010202",2,2,2,2,2,2,2,2,2,2,1,2,2,3,2,2,3,3,3,2,2,1,2,2
"19010203",2,2,3,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"19010204",2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
"19010205",2,2,3,2,3,1,1,1,3,1,1,3,1,2,2,1,2,1,1,1,1,1,2,1
"19010206",1,2,2,1,2,3,3,2,2,2,2,1,1,1,1,1,3,1,1,1,1,1,2,1
"19010207",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"19010208",2,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"19010209",2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
"19010210",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"19010211",1,1,1,1,1,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1
"19010212",1,1,2,1,2,1,1,1,2,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1
"19010213",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"19010214",2,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,2,1,1,2
"19010215",2,1,2,3,3,1,1,1,3,1,1,3,1,1,3,1,2,2,1,3,2,1,2,1
"19010216",1,2,1,1,2,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2
"19010217",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"19010218",1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1
"19010219",1,1,2,2,2,1,1,1,2,2,1,2,1,2,1,1,1,2,2,1,2,1,1,1
"19010220",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"19010221",1,1,1,1,2,1,1,1,2,1,2,2,1,2,1,1,3,2,2,1,2,2,1,1
"19010222",1,1,1,1,2,2,1,1,1,1,1,1,2,3,1,2,3,2,2,2,2,2,1,2
"19010251",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"19010252",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
