"","2010101","2010102","2010103","2010104","2010105","2010106","2010107","2010108","2010109","2010110","2010111","2010112","2010113","2010114","2010151","2010152","2010153"
"2010101",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"2010102",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"2010103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2010104",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"2010105",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"2010106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"2010107",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"2010108",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"2010109",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"2010110",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"2010111",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"2010112",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"2010113",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2010114",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"2010151",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"2010152",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"2010153",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
