"","17020201","17020202","17020203","17020204","17020205","17020206","17020207","17020208","17020209","17020210","17020211","17020212","17020213","17020214","17020215","17020216","17020217","17020218","17020219","17020220","17020221","17020222","17020223","17020224","17020251","17020252","17020253","17020254","17020255","17020256"
"17020201",1,2,10,1,1,10,1,1,1,10,1,1,1,1,1,1,1,1,1,2,1,1,1,1,10,1,1,10,1,2
"17020202",3,3,10,2,3,10,3,3,3,10,2,2,2,2,2,2,2,3,2,2,2,2,2,2,10,3,3,10,1,2
"17020203",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"17020204",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"17020205",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"17020206",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"17020207",1,2,10,1,2,10,3,1,2,10,2,2,2,2,2,1,1,1,2,1,1,2,3,2,10,2,2,10,2,3
"17020208",1,1,10,1,1,10,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,10,1,1
"17020209",1,1,10,1,1,10,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,10,1,1
"17020210",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"17020211",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"17020212",1,1,10,1,1,10,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,10,1,1
"17020213",2,1,10,1,1,10,1,2,1,10,2,2,2,1,2,1,2,1,1,1,1,1,1,1,10,1,1,10,1,1
"17020214",1,1,10,1,1,10,2,2,2,10,2,1,1,2,2,2,1,2,1,1,1,1,2,2,10,2,2,10,1,2
"17020215",1,1,10,1,1,10,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,10,1,1
"17020216",1,1,10,1,2,10,1,1,1,10,1,1,1,2,2,2,1,1,1,1,2,1,2,1,10,2,2,10,1,2
"17020217",1,1,10,1,1,10,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,10,1,1
"17020218",1,1,10,1,1,10,1,1,1,10,1,1,2,1,1,1,1,1,1,1,1,1,1,1,10,1,1,10,1,1
"17020219",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"17020220",1,1,10,1,1,10,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,10,1,1
"17020221",1,1,10,1,1,10,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,10,1,1
"17020222",2,2,10,2,3,10,3,3,3,10,2,3,1,2,2,3,1,2,2,2,3,2,2,2,10,3,2,10,2,2
"17020223",2,1,10,1,1,10,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,10,1,1
"17020224",1,1,10,1,1,10,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,10,1,1
"17020251",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"17020252",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"17020253",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"17020254",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"17020255",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"17020256",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
