"","4020201","4020202","4020203","4020204","4020205","4020206","4020207","4020208","4020209","4020210","4020211","4020212","4020213","4020214","4020215","4020216","4020217","4020218","4020219","4020220","4020221","4020222","4020223","4020224","4020225","4020226","4020251","4020252","4020253"
"4020201",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,3,1,1,1,1,1,1,1,2
"4020202",2,2,1,2,2,2,1,2,1,2,2,1,1,1,1,2,3,1,2,1,3,1,1,1,1,3,3,2,3
"4020203",1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4020204",2,1,1,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2
"4020205",1,1,1,1,2,1,1,1,1,2,2,1,1,2,1,2,1,1,2,1,2,2,2,1,1,2,1,1,1
"4020206",1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4020207",1,1,1,1,1,2,1,1,3,3,1,2,2,1,2,1,3,1,1,1,1,1,1,1,1,2,1,1,1
"4020208",2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2
"4020209",1,1,2,1,3,1,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,1,3,1,2,3
"4020210",1,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,2,1,1,3,1,1,1
"4020211",2,1,2,1,2,1,1,1,1,1,2,1,1,2,1,2,2,1,1,1,2,2,1,1,1,2,1,2,1
"4020212",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
"4020213",2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,3
"4020214",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"4020215",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"4020216",1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,2,1,2,2
"4020217",1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1
"4020218",2,1,1,2,2,1,1,1,2,2,2,1,1,1,1,2,2,1,2,1,2,2,1,1,1,2,1,1,2
"4020219",2,1,2,1,2,1,1,1,1,2,1,1,1,2,1,2,2,1,1,1,2,2,1,1,1,1,1,2,2
"4020220",2,1,2,1,2,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,2,1,2,2
"4020221",2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,2,2,1,1,2,1,1,1,2,1,3,3
"4020222",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"4020223",3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1,1,1
"4020224",2,1,1,1,2,1,1,2,1,1,2,1,1,2,1,2,1,1,2,1,2,1,2,1,1,2,1,2,2
"4020225",2,1,2,1,3,1,1,2,2,2,2,1,2,2,1,2,1,1,2,1,2,2,2,1,1,3,1,1,2
"4020226",2,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,2,2,2,1,1,2,1,2,2
"4020251",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"4020252",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"4020253",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
