"","1010201","1010202","1010203","1010204","1010205","1010206","1010207","1010208","1010209","1010210","1010211","1010251","1010252"
"1010201",0,0,0,0,0,0,0,1,0,0,0,0,0
"1010202",0,0,0,0,0,0,0,0,0,1,0,0,0
"1010203",0,0,1,0,0,0,0,0,0,0,0,0,0
"1010204",0,0,1,0,0,0,1,1,0,0,0,0,0
"1010205",0,0,0,0,0,0,0,1,0,0,0,0,0
"1010206",0,0,0,0,0,1,1,1,0,0,0,0,0
"1010207",0,0,0,0,0,0,0,1,0,0,0,0,0
"1010208",0,0,1,0,0,0,1,0,0,0,0,0,0
"1010209",0,0,0,0,0,0,0,1,0,1,0,0,0
"1010210",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"1010211",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"1010251",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"1010252",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
