"","10010101","10010102","10010103","10010104","10010105","10010106","10010107","10010108","10010109","10010110","10010111","10010112","10010113","10010114","10010151","10010152","10010153","10010154","10010155","10010156"
"10010101",2,2,1,2,1,3,1,2,1,1,2,2,1,1,2,1,3,1,1,10
"10010102",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"10010103",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,10
"10010104",1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,10
"10010105",3,2,2,1,3,3,1,2,1,2,1,1,1,2,3,1,2,1,1,10
"10010106",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10
"10010107",1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,10
"10010108",1,2,2,1,2,3,2,3,2,2,3,2,1,1,2,1,2,3,1,10
"10010109",1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,2,1,10
"10010110",1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,2,1,10
"10010111",1,1,1,1,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,10
"10010112",1,1,2,1,2,1,1,2,1,1,2,2,2,1,1,1,2,2,1,10
"10010113",1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,10
"10010114",1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,10
"10010151",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"10010152",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"10010153",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"10010154",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"10010155",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"10010156",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
