"","4020101","4020102","4020103","4020104","4020105","4020106","4020107","4020108","4020109","4020110","4020111","4020112","4020113","4020114","4020115","4020116","4020117","4020118","4020119","4020120","4020121","4020122","4020123","4020124","4020125","4020126","4020151","4020152","4020153"
"4020101",2,1,1,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2
"4020102",1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1
"4020103",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"4020104",1,1,1,1,1,2,3,2,1,2,2,3,3,1,3,1,3,3,1,1,1,1,1,3,3,1,2,1,1
"4020105",3,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2
"4020106",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
"4020107",1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
"4020108",2,2,2,2,2,1,2,2,1,2,2,1,2,1,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2
"4020109",2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2
"4020110",3,2,2,1,3,1,2,1,2,3,2,2,1,1,1,2,2,1,3,1,1,1,1,1,1,2,1,2,1
"4020111",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"4020112",1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
"4020113",1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4020114",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"4020115",2,1,1,2,2,1,2,1,2,2,1,1,1,2,1,2,1,2,2,1,2,2,2,2,2,2,1,1,2
"4020116",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4020117",2,1,1,1,3,1,2,2,2,2,2,2,2,1,2,3,2,1,3,1,1,2,1,2,2,2,1,1,1
"4020118",2,1,1,2,3,1,2,2,1,1,1,1,1,1,2,2,1,2,1,1,2,1,2,1,1,3,1,2,2
"4020119",2,1,2,1,2,1,2,2,1,1,2,1,2,2,1,2,2,3,3,1,2,3,2,1,1,2,1,2,2
"4020120",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4020121",1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
"4020122",1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,2,1
"4020123",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"4020124",1,1,1,2,1,1,2,2,2,2,2,2,1,1,2,1,2,2,1,1,1,1,1,2,2,1,2,1,1
"4020125",2,2,2,2,2,1,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
"4020126",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"4020151",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"4020152",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"4020153",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
